RUN	scala.simulations.Browser.GetDataSimulation	getdatasimulation	1687288884633	 	3.3.1
REQUEST	22		Get Data	1687288890233	1687288890332	OK	 
REQUEST	30		Get Data	1687288890264	1687288890364	OK	 
REQUEST	9		Get Data	1687288890234	1687288890371	OK	 
REQUEST	39		Get Data	1687288890276	1687288890383	OK	 
REQUEST	16		Get Data	1687288890264	1687288890384	OK	 
REQUEST	29		Get Data	1687288890263	1687288890402	OK	 
REQUEST	40		Get Data	1687288890323	1687288890433	OK	 
REQUEST	42		Get Data	1687288890337	1687288890446	OK	 
REQUEST	47		Get Data	1687288890323	1687288890447	OK	 
REQUEST	28		Get Data	1687288890324	1687288890463	OK	 
REQUEST	25		Get Data	1687288890369	1687288890476	OK	 
REQUEST	36		Get Data	1687288890353	1687288890476	OK	 
REQUEST	34		Get Data	1687288890401	1687288890507	OK	 
REQUEST	46		Get Data	1687288890402	1687288890508	OK	 
REQUEST	31		Get Data	1687288890401	1687288890509	OK	 
REQUEST	17		Get Data	1687288890400	1687288890523	OK	 
REQUEST	53		Get Data	1687288890402	1687288890539	OK	 
REQUEST	56		Get Data	1687288890446	1687288890550	OK	 
REQUEST	51		Get Data	1687288890445	1687288890554	OK	 
REQUEST	37		Get Data	1687288890463	1687288890558	OK	 
REQUEST	45		Get Data	1687288890446	1687288890565	OK	 
REQUEST	12		Get Data	1687288890463	1687288890571	OK	 
REQUEST	100		Get Data	1687288889816	1687288890594	OK	 
REQUEST	24		Get Data	1687288890401	1687288890596	OK	 
REQUEST	43		Get Data	1687288890508	1687288890616	OK	 
REQUEST	48		Get Data	1687288890524	1687288890621	OK	 
REQUEST	62		Get Data	1687288890508	1687288890623	OK	 
REQUEST	38		Get Data	1687288890492	1687288890623	OK	 
REQUEST	55		Get Data	1687288890523	1687288890627	OK	 
REQUEST	52		Get Data	1687288890508	1687288890627	OK	 
REQUEST	5		Get Data	1687288890476	1687288890631	OK	 
REQUEST	60		Get Data	1687288890539	1687288890633	OK	 
REQUEST	58		Get Data	1687288890555	1687288890654	OK	 
REQUEST	65		Get Data	1687288890555	1687288890662	OK	 
REQUEST	63		Get Data	1687288890508	1687288890662	OK	 
REQUEST	67		Get Data	1687288890569	1687288890676	KO	status.find.is(200), but actually found 400
REQUEST	49		Get Data	1687288890584	1687288890693	OK	 
REQUEST	54		Get Data	1687288890602	1687288890697	OK	 
REQUEST	61		Get Data	1687288890601	1687288890699	OK	 
REQUEST	70		Get Data	1687288890603	1687288890704	OK	 
REQUEST	66		Get Data	1687288890601	1687288890708	OK	 
REQUEST	71		Get Data	1687288890601	1687288890711	OK	 
REQUEST	72		Get Data	1687288890616	1687288890726	OK	 
REQUEST	68		Get Data	1687288890631	1687288890740	OK	 
REQUEST	69		Get Data	1687288890632	1687288890745	OK	 
REQUEST	80		Get Data	1687288890664	1687288890766	OK	 
REQUEST	74		Get Data	1687288890677	1687288890779	OK	 
REQUEST	79		Get Data	1687288890693	1687288890803	OK	 
